Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Description,Main Version,Split Transistor Version,Buying link
"C1,C10,C11",3,50V 10nF,,,,Capacitor_SMD:C_0805_2012Metric,Capacitor 50V 10nF 0805,,,https://www.thegioiic.com/tu-gom-0805-10nf-50v
"C2,C4,C5,C7,C8,C13,C14,C15,C16,C17,C18,C20,C21,C22,C23",15,50V 1.5nF,,,,Capacitor_SMD:C_0805_2012Metric,Capacitor 50V 1.5nF 0805,,,https://www.thegioiic.com/tu-gom-0805-1-5nf-50v
"C3,C19",2,50V 68nF,,,,Capacitor_SMD:C_0805_2012Metric,Capacitor 50V 68nF 0805,,,https://www.thegioiic.com/tu-gom-0805-68nf-50v
C6,1,50V 10nF,,,,Capacitor_SMD:C_1206_3216Metric,Capacitor 50V 10nF 1206,,,https://www.thegioiic.com/tu-gom-1206-10nf-50v
"C9,C12",2,50V 68pF,,,,Capacitor_SMD:C_0805_2012Metric,Capacitor 50V 68pF 0805,,,https://www.thegioiic.com/tu-gom-0805-68pf-50v
"D1,D3,D5",3,ZMM36_C8082 35V,,,,easyeda2kicad:LL-34_L3.5-W1.5-RD,Diode ZMM36 35V,,,https://www.thegioiic.com/zmm36-diode-zener-36v-500mw-sod-80
D4,1,FM4007,,,,easyeda2kicad:SOD-123FL_L2.7-W1.8-LS3.8-RD,Diode FM4007,,,https://www.thegioiic.com/twgmc-1n4007-m7-sma-diode-chinh-luu-1a-1kv
"D7,D8",2,ZMM15_C179550 15V,,,,easyeda2kicad:SOD-80_L3.5-W1.5-RD,Diode ZMM15 15V,,,https://www.thegioiic.com/zmm15-diode-zener-15v-500mw-smd
"IC1,IC2",2,PIC16C620A-04/SS,,,,easyeda2kicad:SSOP-20_L7.2-W5.3-P0.65-LS7.8-BL,PIC16C620A-04/SS,,,https://jlcpcb.com/partdetail/MicrochipTech-PIC16C620A_04SS/C639116
"J1,J7,J8",3,Conn_01x05_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,"Generic connector, single row, 01x05, script generated",,,
"J2,J5,J6",3,Conn_01x04_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04, script generated",,,
"Q2,Q5",2,TIP110G,DNP,,,easyeda2kicad:TO-220-3_L10.0-W4.5-P2.54-L,NPN Darlington transistor TIP110G,,,https://www.thegioiic.com/tip110-transistor-npn-1-ngo-ra-darlington-60v-2a-to-220
"Q3,Q8",2,MBT3946DW1T1,DNP,,,Package_TO_SOT_SMD:SOT-363_SC-70-6,"200mA IC, 40V Vce, Dual NPN/PNP Transistors, SOT-363 MBT3946DW1T1",Main,,https://jlcpcb.com/partdetail/LRC-LMBT3946DW1T1G/C136169
"Q4,Q11,Q36,Q37,Q38",5,BCX56,,,,Package_TO_SOT_SMD:SOT-89-3,"1A Ic, 80V Vce, NPN Medium Power Transistor, SOT-89 BCX56",,,https://jlcpcb.com/partdetail/25020-BCX56_RANGE_100_250/C24280
"Q6,Q7,Q9,Q10,Q12,Q13,Q14,Q15",8,IMX1T110,DNP,,,easyeda2kicad:SOT-457_L2.9-W1.6-P0.95-LS2.80-BR,NPN transistor IMX1T110,Main,,https://jlcpcb.com/partdetail/ROHMSemicon-IMX1T110/C509893
"Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35",18,MMBT2222A,,,,Package_TO_SOT_SMD:SOT-23,"600mA Ic, 40V Vce, NPN Transistor, SOT-23",,Split,https://www.thegioiic.com/mmbt2222a-1p-transistor-npn-40v-0-6a-3-chan-sot-23
