"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C10,C11","3","50V 10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C5,C7,C8,C13,C14,C15,C16,C17,C18,C20,C21,C22,C23","15","50V 1.5nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","50V 68nF ceramic","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","50V 10nF ceramic","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C9,C12","2","50V 68pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C19","1","50V 68nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D3,D5","3","ZMM36_C8082 35V","","","","easyeda2kicad:LL-34_L3.5-W1.5-RD","https://lcsc.com/product-detail/Zener-Diodes_ZMM33_C8082.html"
"D4","1","FM4007","","","","easyeda2kicad:SOD-123FL_L2.7-W1.8-LS3.8-RD","https://lcsc.com/product-detail/Diodes-General-Purpose_LGE-FM4007_C402244.html"
"D7,D8","2","ZMM15_C179550 15V","","","","easyeda2kicad:SOD-80_L3.5-W1.5-RD","https://lcsc.com/product-detail/Zener-Diodes_ZMM15_C179550.html"
"IC1,IC2","2","PIC16C620A-04/SS","","","","easyeda2kicad:SSOP-20_L7.2-W5.3-P0.65-LS7.8-BL",""
"J1,J7,J8","3","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J2,J5,J6","3","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"Q1,Q2,Q4,Q11,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36","23","MMBT2222A","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf"
"Q3,Q8","2","MBT3946DW1T1","DNP","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://www.onsemi.com/pub_link/Collateral/MBT3946DW1T1-D.PDF"
"Q6,Q7,Q9,Q10,Q12,Q13,Q14,Q15","8","IMX1T110","DNP","","","easyeda2kicad:SOT-457_L2.9-W1.6-P0.95-LS2.80-BR","https://lcsc.com/product-detail/Pre-ordered-Products_ROHM-Semicon_IMX1T110_ROHM-Semicon-IMX1T110_C509893.html"
"Q23,Q26","2","MMBT3906","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3906-d.pdf"
"R1,R3,R4,R9,R12,R13,R17,R24,R46","9","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R5","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R11,R21","3","33k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R15,R23","3","3.3k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8,R54","2","10R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10,R27,R29,R30,R31,R32,R33,R34,R38","9","100R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18,R20,R25,R44","4","47k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R19,R22,R50,R51","4","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R26,R43,R45","3","4.7R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R28,R40","2","330R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R35,R39","2","150R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R36,R42","2","470R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R37,R41,R49,R53","4","270R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R47,R52,R57,R58","4","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R48,R55,R56,R59","4","27k","","","","Resistor_SMD:R_0805_2012Metric","~"
"REL1,REL2","2","V23057-B0006-A101","","","","easyeda2kicad:RELAY-TH_TE_V23057BXXX",""
"SW1","1","SS12D10G3","","","","easyeda2kicad:SW-TH_3P-P4.8-L12.7-W6.7_SS12D10G3",""
"TU1,TU2","2","10uF 16V","","","","easyeda2kicad:CAP-SMD_L3.2-W1.6-RD-C7171","https://lcsc.com/product-detail/Tantalum-Capacitors_AVX_TAJA106K016RNJ_10uF-106-10-16V_C7171.html"
"TU3,TU7","2","3.3uF 35V","","","","easyeda2kicad:CAP-SMD_L3.5-W2.8-R-RD","https://lcsc.com/product-detail/Tantalum-Capacitors_AVX_TAJB335K035RNJ_3-3uF-335-10-35V_C7201.html"
"TU4","1","2.2uF 35V","","","","easyeda2kicad:CAP-SMD_L3.5-W2.8-R-RD","https://lcsc.com/product-detail/Tantalum-Capacitors_AVX_TAJB225K035RNJ-RHOS_2-2uF-225-10-35V_C19276.html"
"U2","1","L7815","","","","Package_TO_SOT_SMD:TO-263-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U3,U4","2","L7805","","","","Package_TO_SOT_SMD:TO-263-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U5,U7","2","B0505S-1W","","","","easyeda2kicad:PWRM-TH_BXXXXS-1W","https://lcsc.com/product-detail/Power-Modules_HENIPER-B0505S-1W_C234073.html"
"U6","1","EL357N(D)(TA)-G_C42385002","","","","easyeda2kicad:SOP-4_L3.9-W4.4-P2.54-LS7.0-TL",""
