Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11",0805,3,50V 10nF,
"C12, C9",0805,2,50V 68pF,
"C13, C14, C15, C16, C17, C18, C2, C20, C21, C22, C23, C4, C5, C7, C8",0805,15,50V 1.5nF,
C19,0805,1,50V 68nF,
C3,0805,1,50V 68nF ceramic,
C6,1206,1,50V 10nF ceramic,
"D1, D3, D5",LL-34_L3.5-W1.5-RD,3,ZMM36_C8082 35V,C8082
D4,SOD-123FL_L2.7-W1.8-LS3.8-RD,1,FM4007,C402244
"D7, D8",SOD-80_L3.5-W1.5-RD,2,ZMM15_C179550 15V,C179550
"IC1, IC2",SSOP-20_L7.2-W5.3-P0.65-LS7.8-BL,2,PIC16C620A-04/SS,C639116
"J1, J7, J8",PinHeader_1x05_P2.54mm_Vertical,3,Conn_01x05_Pin,
"J2, J5, J6",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
"Q1, Q11, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q24, Q25, Q27, Q28, Q29, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q4",SOT-23,23,MMBT2222A,
"Q10, Q12, Q13, Q14, Q15, Q6, Q7, Q9",SOT-457_L2.9-W1.6-P0.95-LS2.80-BR,8,IMX1T110,C509893
"Q23, Q26",SOT-23,2,MMBT3906,
"Q3, Q8",SOT-363_SC-70-6,2,MBT3946DW1T1,
"R1, R12, R13, R17, R24, R3, R4, R46, R9",0805,9,1k,
"R10, R27, R29, R30, R31, R32, R33, R34, R38",0805,9,100R,
"R11, R21, R6",0805,3,33k,
"R15, R23, R7",0805,3,3.3k,
"R18, R20, R25, R44",0805,4,47k,
"R19, R22, R50, R51",0805,4,10k,
"R2, R5",0805,2,4.7k,
"R26, R43, R45",0805,3,4.7R,
"R28, R40",0805,2,330R,
"R35, R39",0805,2,150R,
"R36, R42",0805,2,470R,
"R37, R41, R49, R53",0805,4,270R,
"R47, R52, R57, R58",0805,4,100k,
"R48, R55, R56, R59",0805,4,27k,
"R54, R8",0805,2,10R,
"REL1, REL2",RELAY-TH_TE_V23057BXXX,2,V23057-B0006-A101,C1564084
SW1,SW-TH_3P-P4.8-L12.7-W6.7_SS12D10G3,1,SS12D10G3,C7431053
"TU1, TU2",CAP-SMD_L3.2-W1.6-RD-C7171,2,10uF 16V,C7171
"TU3, TU7",CAP-SMD_L3.5-W2.8-R-RD,2,3.3uF 35V,C7201
TU4,CAP-SMD_L3.5-W2.8-R-RD,1,2.2uF 35V,C19276
U2,TO-263-2,1,L7815,
"U3, U4",TO-263-2,2,L7805,
"U5, U7",PWRM-TH_BXXXXS-1W,2,B0505S-1W,C234073
U6,SOP-4_L3.9-W4.4-P2.54-LS7.0-TL,1,EL357N(D)(TA)-G_C42385002,C42385002
